item_id,source_item_uid,domain,concept,task,n_human_raters,fa_human,cc_human,lc_human,tf_human,mq_human,human_risk,human_quality,human_quality3_science,human_quality_sd
ITEM_004,千问_A_C04,Physics,抛体运动,A,4,4.5,3.75,4.25,4.25,4.25,2.25,4.199999999999999,4.166666666666667,0.4898979485566355
ITEM_010,千问_A_C10,Chemistry,化学反应与物理变化,A,4,4.0,3.5,3.75,3.75,4.0,2.0,3.8,3.833333333333333,0.9933109617167561
ITEM_016,千问_A_C16,Biology,遗传信息与性状,A,5,3.8,3.6,4.2,4.0,3.2,2.2,3.7600000000000002,3.5333333333333337,0.5727128425310543
ITEM_022,千问_A_C22,Geoscience,地震成因,A,4,4.25,4.0,4.0,4.25,4.0,1.5,4.1,4.083333333333333,0.8246211251235321
ITEM_028,千问_A_C28,Climate/Environment,二氧化碳的气候作用,A,5,4.8,4.0,4.4,3.6,4.4,1.8,4.24,4.4,0.35777087639996663
ITEM_063,千问_C_C03,Physics,牛顿第三定律,C,4,4.5,4.5,4.25,4.25,4.25,2.0,4.35,4.416666666666666,0.7895146188218006
ITEM_064,千问_C_C04,Physics,抛体运动,C,4,4.75,4.25,4.0,4.0,3.25,2.0,4.05,4.083333333333333,0.5259911279353165
ITEM_069,千问_C_C09,Chemistry,相变,C,4,4.75,4.5,4.25,4.5,4.0,1.0,4.4,4.416666666666666,0.5163977794943221
ITEM_070,千问_C_C10,Chemistry,化学反应与物理变化,C,4,5.0,4.75,4.75,5.0,3.75,1.0,4.65,4.5,0.41231056256176557
ITEM_075,千问_C_C15,Biology,随机变异与非随机选择,C,5,4.8,4.6,5.0,4.8,3.8,1.2,4.6,4.4,0.37416573867739406
ITEM_076,千问_C_C16,Biology,遗传信息与性状,C,5,5.0,4.8,4.8,4.6,3.8,1.2,4.6,4.533333333333333,0.31622776601683794
ITEM_081,千问_C_C21,Geoscience,岩石循环,C,4,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0
ITEM_082,千问_C_C22,Geoscience,地震成因,C,4,5.0,4.75,5.0,5.0,5.0,1.25,4.95,4.916666666666667,0.0999999999999998
ITEM_087,千问_C_C27,Climate/Environment,全球变暖与气候变化,C,5,4.2,4.0,4.6,4.6,3.8,2.0,4.24,4.0,0.572712842531054
ITEM_088,千问_C_C28,Climate/Environment,二氧化碳的气候作用,C,5,4.6,4.4,4.6,4.6,4.2,1.4,4.4799999999999995,4.4,0.6260990336999415
ITEM_092,claude_A_C02,Physics,净力与加速度,A,4,4.5,4.0,3.75,4.5,3.75,1.75,4.1,4.083333333333333,0.8406346808612326
ITEM_096,claude_A_C06,Physics,摩擦力与运动,A,4,4.5,3.5,3.75,3.25,2.75,2.5,3.55,3.583333333333333,1.0246950765959597
ITEM_098,claude_A_C08,Chemistry,物质微粒观,A,4,4.5,4.25,4.25,4.25,3.5,1.5,4.15,4.083333333333334,0.5972157622389639
ITEM_102,claude_A_C12,Chemistry,溶液浓度与稀释,A,4,4.75,4.75,4.75,4.75,3.75,1.25,4.55,4.416666666666666,0.525991127935317
ITEM_104,claude_A_C14,Biology,进化没有预设目标,A,5,4.2,4.0,3.6,4.2,3.8,2.2,3.96,4.0,0.7127411872482184
ITEM_108,claude_A_C18,Biology,光合作用与细胞呼吸,A,5,4.8,4.4,4.6,4.6,3.6,1.6,4.4,4.266666666666667,0.5656854249492382
ITEM_110,claude_A_C20,Geoscience,地质时间,A,4,3.75,3.75,3.75,3.5,3.5,1.75,3.65,3.6666666666666665,0.854400374531753
ITEM_114,claude_A_C24,Geoscience,地球内部结构,A,4,5.0,4.0,4.25,3.75,4.5,1.75,4.3,4.5,0.6633249580710803
ITEM_116,claude_A_C26,Climate/Environment,天气与气候,A,5,4.8,4.2,4.2,4.6,4.8,1.8,4.5200000000000005,4.6,0.5215361924162121
ITEM_120,claude_A_C30,Climate/Environment,自然变率与人为影响,A,5,4.4,4.4,4.2,4.4,4.2,1.8,4.32,4.333333333333334,0.7949842765740716
ITEM_125,claude_B_C05,Physics,圆周运动,B,4,5.0,4.5,4.75,4.75,4.25,1.75,4.65,4.583333333333334,0.44347115652166913
ITEM_126,claude_B_C06,Physics,摩擦力与运动,B,4,5.0,4.0,4.0,4.0,3.5,2.5,4.1,4.166666666666667,0.7023769168568492
ITEM_131,claude_B_C11,Chemistry,化学键,B,4,4.25,4.25,4.0,4.25,3.5,1.75,4.05,4.0,0.6806859285554047
ITEM_132,claude_B_C12,Chemistry,溶液浓度与稀释,B,4,5.0,4.75,4.75,4.75,3.75,1.0,4.6,4.5,0.46188021535170054
ITEM_137,claude_B_C17,Biology,能量流动与物质循环,B,5,4.6,4.6,4.2,4.2,3.2,1.8,4.16,4.133333333333334,0.7668115805072326
ITEM_138,claude_B_C18,Biology,光合作用与细胞呼吸,B,5,4.2,4.2,4.2,4.4,3.4,1.6,4.08,3.9333333333333327,0.7155417527999328
ITEM_143,claude_B_C23,Geoscience,火山与板块边界,B,4,4.75,4.75,4.5,4.75,4.75,1.5,4.7,4.75,0.6000000000000001
ITEM_144,claude_B_C24,Geoscience,地球内部结构,B,4,5.0,4.5,4.75,4.75,4.75,1.0,4.75,4.75,0.37859388972001823
ITEM_149,claude_B_C29,Climate/Environment,海洋垃圾与塑料污染,B,5,4.2,3.2,4.0,3.6,4.0,2.2,3.8,3.8,0.24494897427831777
ITEM_150,claude_B_C30,Climate/Environment,自然变率与人为影响,B,5,3.8,3.8,4.4,4.6,3.8,2.2,4.08,3.8,0.6260990336999409
ITEM_183,豆包_A_C03,Physics,牛顿第三定律,A,4,4.25,2.75,4.5,4.5,4.0,2.0,4.0,3.6666666666666665,0.5887840577551896
ITEM_184,豆包_A_C04,Physics,抛体运动,A,4,3.25,4.0,4.5,4.5,4.5,2.25,4.15,3.9166666666666665,0.7371114795831992
ITEM_189,豆包_A_C09,Chemistry,相变,A,4,4.5,4.0,4.25,4.25,4.0,1.75,4.2,4.166666666666667,0.3999999999999999
ITEM_190,豆包_A_C10,Chemistry,化学反应与物理变化,A,4,4.5,4.25,4.25,4.25,3.5,1.5,4.15,4.083333333333334,0.7000000000000001
ITEM_195,豆包_A_C15,Biology,随机变异与非随机选择,A,5,3.6,3.8,3.4,3.4,2.6,2.4,3.3600000000000003,3.3333333333333335,0.589915248150105
ITEM_196,豆包_A_C16,Biology,遗传信息与性状,A,5,4.8,4.6,4.6,4.4,4.0,1.2,4.4799999999999995,4.466666666666667,0.5215361924162117
ITEM_201,豆包_A_C21,Geoscience,岩石循环,A,4,4.0,4.0,4.0,3.75,4.0,2.0,3.95,4.0,1.112055154507485
ITEM_202,豆包_A_C22,Geoscience,地震成因,A,4,4.75,4.0,4.25,4.75,4.75,1.25,4.5,4.5,0.621825270205921
ITEM_207,豆包_A_C27,Climate/Environment,全球变暖与气候变化,A,5,4.2,4.0,3.8,2.8,3.4,1.6,3.6399999999999997,3.866666666666667,0.8173126696681018
ITEM_208,豆包_A_C28,Climate/Environment,二氧化碳的气候作用,A,5,4.2,3.6,4.0,3.6,3.8,2.4,3.84,3.8666666666666663,0.4335896677735761
ITEM_211,豆包_B_C01,Physics,惯性,B,4,5.0,2.0,2.0,2.0,2.0,2.0,2.6,3.0,0.0
ITEM_214,豆包_B_C04,Physics,抛体运动,B,4,4.5,3.25,3.0,3.25,3.25,2.25,3.45,3.6666666666666665,0.3785938897200182
ITEM_217,豆包_B_C07,Chemistry,质量守恒,B,4,5.0,2.0,2.0,2.0,2.0,2.0,2.6,3.0,0.0
ITEM_220,豆包_B_C10,Chemistry,化学反应与物理变化,B,4,4.75,4.5,4.0,4.5,3.5,1.25,4.25,4.25,0.5259911279353168
ITEM_223,豆包_B_C13,Biology,自然选择,B,5,5.0,2.6,2.6,2.6,1.8,1.8,2.9200000000000004,3.1333333333333333,0.7155417527999328
ITEM_226,豆包_B_C16,Biology,遗传信息与性状,B,5,4.4,3.8,4.2,3.8,2.6,2.4,3.7600000000000002,3.6,1.099090533122727
ITEM_229,豆包_B_C19,Geoscience,板块构造,B,4,5.0,2.0,2.0,2.0,2.0,2.0,2.6,3.0,0.0
ITEM_232,豆包_B_C22,Geoscience,地震成因,B,4,4.75,4.5,3.25,4.0,4.0,1.75,4.1,4.416666666666667,1.089342309224546
ITEM_235,豆包_B_C25,Climate/Environment,温室效应,B,5,5.0,2.0,2.0,2.0,2.0,2.0,2.6,3.0,0.0
ITEM_238,豆包_B_C28,Climate/Environment,二氧化碳的气候作用,B,5,4.8,3.4,4.2,4.2,4.0,2.2,4.12,4.066666666666667,0.4604345773288535
ITEM_242,豆包_C_C02,Physics,净力与加速度,C,4,4.0,4.0,3.5,4.0,4.0,2.0,3.9,4.0,1.2701705922171767
ITEM_243,豆包_C_C03,Physics,牛顿第三定律,C,4,3.25,4.25,4.0,3.5,3.5,2.5,3.7,3.666666666666667,0.9018499505645788
ITEM_248,豆包_C_C08,Chemistry,物质微粒观,C,4,5.0,4.75,4.75,4.75,4.0,1.25,4.65,4.583333333333333,0.4123105625617655
ITEM_249,豆包_C_C09,Chemistry,相变,C,4,5.0,4.75,4.75,4.75,3.75,1.0,4.6,4.5,0.46188021535170054
ITEM_254,豆包_C_C14,Biology,进化没有预设目标,C,5,4.6,4.6,4.6,4.6,3.6,1.8,4.4,4.266666666666667,0.4898979485566357
ITEM_255,豆包_C_C15,Biology,随机变异与非随机选择,C,5,5.0,4.8,4.4,4.6,3.6,2.0,4.4799999999999995,4.466666666666667,0.36331804249169847
ITEM_260,豆包_C_C20,Geoscience,地质时间,C,4,4.25,3.75,4.0,3.75,3.75,2.0,3.9,3.916666666666667,1.4375905768565218
ITEM_261,豆包_C_C21,Geoscience,岩石循环,C,4,4.75,4.75,5.0,5.0,5.0,1.0,4.9,4.833333333333333,0.2000000000000003
ITEM_266,豆包_C_C26,Climate/Environment,天气与气候,C,5,4.6,3.8,4.0,3.8,3.6,1.8,3.96,4.0,0.5176871642217913
ITEM_267,豆包_C_C27,Climate/Environment,全球变暖与气候变化,C,5,4.2,4.2,4.6,4.4,3.6,2.0,4.2,4.0,0.6000000000000001
ITEM_275,DEEPSEEK_A_C05,Physics,圆周运动,A,4,4.75,3.5,4.25,4.25,4.0,2.25,4.15,4.083333333333334,0.41231056256176596
ITEM_281,DEEPSEEK_A_C11,Chemistry,化学键,A,4,4.75,4.5,4.5,4.5,3.5,1.25,4.35,4.25,0.4434711565216693
ITEM_287,DEEPSEEK_A_C17,Biology,能量流动与物质循环,A,5,4.4,3.2,4.2,3.8,3.8,2.0,3.88,3.8,0.303315017762062
ITEM_293,DEEPSEEK_A_C23,Geoscience,火山与板块边界,A,4,4.75,4.75,4.5,4.25,4.25,1.75,4.5,4.583333333333334,0.6218252702059209
ITEM_299,DEEPSEEK_A_C29,Climate/Environment,海洋垃圾与塑料污染,A,5,4.2,4.2,4.8,4.0,4.0,1.4,4.24,4.133333333333333,0.4335896677735759
ITEM_302,DEEPSEEK_B_C02,Physics,净力与加速度,B,4,4.5,3.5,3.75,3.25,3.25,2.0,3.65,3.75,0.9983319421247958
ITEM_303,DEEPSEEK_B_C03,Physics,牛顿第三定律,B,4,4.5,3.75,3.75,3.25,3.0,1.75,3.65,3.75,0.9983319421247958
ITEM_308,DEEPSEEK_B_C08,Chemistry,物质微粒观,B,4,4.5,4.75,4.75,4.75,3.75,1.25,4.5,4.333333333333334,0.47609522856952347
ITEM_309,DEEPSEEK_B_C09,Chemistry,相变,B,4,5.0,4.5,4.75,4.75,3.75,1.0,4.55,4.416666666666666,0.4123105625617656
ITEM_314,DEEPSEEK_B_C14,Biology,进化没有预设目标,B,5,4.4,4.0,4.0,4.2,3.4,1.6,4.0,3.9333333333333336,0.5830951894845302
ITEM_315,DEEPSEEK_B_C15,Biology,随机变异与非随机选择,B,5,4.2,4.0,4.2,4.4,3.6,2.2,4.08,3.9333333333333336,0.878635305459552
ITEM_320,DEEPSEEK_B_C20,Geoscience,地质时间,B,4,4.5,3.5,3.75,4.0,4.0,2.0,3.95,4.0,0.9983319421247957
ITEM_321,DEEPSEEK_B_C21,Geoscience,岩石循环,B,4,5.0,5.0,4.75,4.75,5.0,1.25,4.9,5.0,0.20000000000000032
ITEM_326,DEEPSEEK_B_C26,Climate/Environment,天气与气候,B,5,4.8,4.0,4.2,4.0,4.0,2.0,4.2,4.266666666666667,0.42426406871192845
ITEM_327,DEEPSEEK_B_C27,Climate/Environment,全球变暖与气候变化,B,5,4.6,3.6,4.4,4.2,4.0,2.0,4.16,4.066666666666667,0.7266360849833978
ITEM_366,Gemini_A_C06,Physics,摩擦力与运动,A,4,4.75,3.25,3.75,4.75,4.75,2.0,4.25,4.25,0.4123105625617661
ITEM_372,Gemini_A_C12,Chemistry,溶液浓度与稀释,A,4,4.5,4.5,4.5,4.25,4.0,1.25,4.35,4.333333333333334,0.7895146188218005
ITEM_378,Gemini_A_C18,Biology,光合作用与细胞呼吸,A,5,4.4,4.2,4.4,4.0,3.4,2.2,4.08,4.0,0.4604345773288536
ITEM_384,Gemini_A_C24,Geoscience,地球内部结构,A,4,5.0,4.75,4.25,4.5,4.5,2.0,4.6,4.75,0.3651483716701106
ITEM_390,Gemini_A_C30,Climate/Environment,自然变率与人为影响,A,5,4.0,3.6,4.2,4.0,4.0,2.2,3.9599999999999995,3.8666666666666663,0.5176871642217913
ITEM_391,Gemini_B_C01,Physics,惯性,B,4,4.5,3.5,3.75,3.25,3.25,2.0,3.65,3.75,0.9983319421247958
ITEM_394,Gemini_B_C04,Physics,抛体运动,B,4,4.5,4.25,3.75,4.25,3.5,2.0,4.05,4.083333333333334,0.8225975119502043
ITEM_396,Gemini_B_C06,Physics,摩擦力与运动,B,4,4.5,3.5,3.75,4.0,3.75,1.75,3.9,3.9166666666666665,0.8246211251235321
ITEM_397,Gemini_B_C07,Chemistry,质量守恒,B,4,4.75,4.25,4.0,4.25,3.5,2.0,4.15,4.166666666666667,0.6608075867199669
