group_index,item_id,source_item_uid,domain,concept,task,is_repeated_check,stem,file
1,ITEM_469,mimo_A_C19,Geoscience,板块构造,A,False,概念：板块构造。解释：地球岩石圈由多个板块组成，板块在软流层上缓慢移动。常见误解：大陆在海洋上漂移。正确说明：板块包括大陆和海洋地壳，整体在软流层上移动。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
2,ITEM_739,GLM_A_C19,Geoscience,板块构造,A,False,概念：板块构造。解释：地球岩石圈由板块拼合而成，板块在软流层上相对运动。常见误解：大陆漂移是因为大陆在水上漂移。正确说明：板块在软流层上移动，而非漂浮在水上。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
3,ITEM_110,claude_A_C20,Geoscience,地质时间,A,False,概念：地质时间。解释：地球历史约46亿年，人类出现的时间相对于地质时间极为短暂。常见误解：地球历史与人类历史时间尺度相近。正确说明：地质时间以百万年计，人类历史仅占其极小片段。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
4,ITEM_740,GLM_A_C20,Geoscience,地质时间,A,False,概念：地质时间。解释：地质时间尺度以百万年计，远超人类历史的时间跨度。常见误解：地球变化总是剧烈且迅速。正确说明：缓慢的地质过程日积月累，也能造成巨大地貌改变。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
5,ITEM_201,豆包_A_C21,Geoscience,岩石循环,A,False,概念：岩石循环。解释：岩石循环是岩浆岩、沉积岩、变质岩间的相互转化过程。常见误解：岩石形成后不会改变类型。正确说明：岩石在地质作用下可转化为其他类型岩石。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
6,ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,False,概念：岩石循环。解释：岩浆岩、沉积岩和变质岩在地质作用下可相互转化。常见误解：岩石类型固定不变。正确说明：在高温高压或风化沉积等作用下，岩石可从一种变为另一种。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
7,ITEM_022,千问_A_C22,Geoscience,地震成因,A,False,概念：地震成因。解释：板块间应力积累超过岩石强度引发震动。常见误解：地震是地底空洞塌陷造成的。正确说明：地震主要源于板块挤压断裂释放的巨大能量。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
8,ITEM_202,豆包_A_C22,Geoscience,地震成因,A,False,概念：地震成因。解释：地震是板块运动使地壳应力累积，突然释放引发震动。常见误解：地震是由地下生物活动引起。正确说明：地震源于地壳板块的运动和应力释放。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
9,ITEM_293,DEEPSEEK_A_C23,Geoscience,火山与板块边界,A,False,概念：火山与板块边界。解释：火山多分布在板块汇聚与离散边界，与岩浆活动有关。常见误解：火山可以随时在任何地方发生。正确说明：火山主要沿板块边界分布，非随机出现在各地。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
10,ITEM_653,GPT_A_C23,Geoscience,火山与板块边界,A,False,概念：火山与板块边界。解释：许多火山分布在板块边界，少数位于热点地区。常见误解：火山随机分布。正确说明：火山常与俯冲、张裂或热点活动有关。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
11,ITEM_114,claude_A_C24,Geoscience,地球内部结构,A,False,概念：地球内部结构。解释：地球由地壳、地幔、外核（液态）和内核（固态）组成，主要依据地震波推断。常见误解：地球内部是空心的或全部熔融。正确说明：地球内部分层，内核为固态铁镍，并非全部液态。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
12,ITEM_384,Gemini_A_C24,Geoscience,地球内部结构,A,False,概念：地球内部结构。解释：地球内部从外到内分为地壳、地幔和地核，温度和压力随深度逐渐增加。常见误解：地球内部全都是液态的岩浆。正确说明：地幔绝大部分是固态岩石，只有外地核是液态，内地核也是固态。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
14,ITEM_229,豆包_B_C19,Geoscience,板块构造,B,False,概念：板块构造。标题：移动的大陆。场景：地质学家观测，非洲板块和亚欧板块在缓慢移动。标签：板块构造、大陆、移动。提醒：误以为大陆是固定不动的。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
15,ITEM_409,Gemini_B_C19,Geoscience,板块构造,B,False,概念：板块构造。标题：拼图的大陆。场景：地理课上，小雨剪下南美洲和非洲的地图，发现它们的边缘竟能完美拼合。标签：板块运动、岩石圈、大陆漂移。提醒：地球表面不是一块死寂不变的坚硬外壳。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
16,ITEM_320,DEEPSEEK_B_C20,Geoscience,地质时间,B,False,概念：地质时间。标题：指甲速度。场景：老师形容：板块移动像指甲生长，几百年才几米，一生难察觉。标签：地质时间、缓慢、板块运动。提醒：地质变化极其缓慢，远超人类寿命尺度。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
17,ITEM_770,GLM_B_C20,Geoscience,地质时间,B,False,概念：地质时间。标题：大地的时钟。场景：喜马拉雅山拔地而起用了百万年，地质时间尺度远超人类想象。标签：地质时间、漫长、沧海桑田。提醒：地貌变迁极度缓慢，别用人类寿命衡量地质变化。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
18,ITEM_321,DEEPSEEK_B_C21,Geoscience,岩石循环,B,False,概念：岩石循环。标题：石头变形记。场景：小磊捡到花岗岩，老师说它祖先可能是海底泥沙或火山熔岩。标签：岩石循环、三大类、转化。提醒：任何岩石都能转变为另一类岩石。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
19,ITEM_681,GPT_B_C21,Geoscience,岩石循环,B,False,概念：岩石循环。标题：石头旅行。场景：展馆里，小李看岩石样本，发现岩浆岩也能转成沉积岩。标签：岩石、循环、转化。提醒：岩石类型不会永远不变。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
20,ITEM_232,豆包_B_C22,Geoscience,地震成因,B,False,概念：地震成因。标题：摇晃的房屋。场景：四川民居摇晃，是板块挤压释放能量引发地震。标签：地震、板块挤压、能量。提醒：误解地震是地下有怪兽。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
21,ITEM_412,Gemini_B_C22,Geoscience,地震成因,B,False,概念：地震成因。标题：折断的竹筷。场景：小明用力弯折竹筷，筷子突然“啪”地断裂弹开。地下的岩层断裂也是如此。标签：应力积累、断层破裂、释放能量。提醒：地震绝大多数是地层断裂引发，非地下爆炸。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
22,ITEM_143,claude_B_C23,Geoscience,火山与板块边界,B,False,概念：火山与板块边界。标题：环太平洋的火圈。场景：地图课上，同学发现火山几乎都在海岸边，老师说那是板块边界所在。标签：火山、板块边界、俯冲带。提醒：火山分布有规律，集中在板块边界，并非随机。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
23,ITEM_773,GLM_B_C23,Geoscience,火山与板块边界,B,False,概念：火山与板块边界。标题：孤立的火山。场景：夏威夷火山远离板块边界，是地幔热点烧穿地壳的产物。标签：火山、板块边界、热点。提醒：火山不只长在板块边界，地幔热点也能形成火山。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
24,ITEM_144,claude_B_C24,Geoscience,地球内部结构,B,False,概念：地球内部结构。标题：没人去过地心。场景：科学家用地震波“透视”地球，发现内核是固态铁镍，而非岩浆。标签：地球内部、地震波、内核固态。提醒：地球内部不是全部熔融，内核是固态的。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
25,ITEM_414,Gemini_B_C24,Geoscience,地球内部结构,B,False,概念：地球内部结构。标题：切开的煮蛋。场景：老师切开白煮蛋，蛋壳、蛋白和蛋黄，完美对应了地球的地壳、地幔和地核。标签：地壳、地幔、地核。提醒：地幔绝大部分是固态岩石，并不是液态岩浆。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
26,ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,True,概念：岩石循环。解释：岩浆岩、沉积岩和变质岩在地质作用下可相互转化。常见误解：岩石类型固定不变。正确说明：在高温高压或风化沉积等作用下，岩石可从一种变为另一种。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
27,ITEM_529,mimo_C_C19,Geoscience,板块构造,C,False,概念：板块构造。题目：关于板块构造学说，下列理解正确的是。选项：A. 大陆在海洋上独立漂移；B. 板块包括大陆和海洋地壳整体移动；C. 地球表面只有一块大陆板块；D. 板块是固定不动的。答案：B。解析：板块包括大陆和海洋地壳，整体在软流层上移动。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
28,ITEM_619,KIMI_C_C19,Geoscience,板块构造,C,False,概念：板块构造。题目：大陆漂移学说的正确理解是。选项：A. 板块整体缓慢移动；B. 大陆在洋底滑动；C. 只有大陆在移动；D. 海洋不动大陆动。答案：A。解析：板块包含大陆和洋底岩石圈，整体移动。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
29,ITEM_260,豆包_C_C20,Geoscience,地质时间,C,False,概念：地质时间。题目：地质年代单位中，最长的是。选项：A. 宙；B. 代；C. 纪；D. 世。答案：A。解析：地质时间单位从长到短：宙、代、纪、世。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
30,ITEM_620,KIMI_C_C20,Geoscience,地质时间,C,False,概念：地质时间。题目：地球的年龄大约是多少。选项：A. 46亿年；B. 几百万年；C. 一万年左右；D. 与人类文明同龄。答案：A。解析：地球形成于约46亿年前，远超人类文明。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
31,ITEM_081,千问_C_C21,Geoscience,岩石循环,C,False,概念：岩石循环。题目：岩石是永恒不变的吗。选项：A. 是，永恒；B. 不是，不断转化；C. 是，不变；D. 是，只变形状。答案：B。解析：岩石在高温高压下可熔化或变质，相互转化。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
32,ITEM_261,豆包_C_C21,Geoscience,岩石循环,C,False,概念：岩石循环。题目：岩浆岩形成的原因是。选项：A. 岩浆冷却凝固；B. 岩石风化；C. 岩石变质；D. 沉积物压实。答案：A。解析：岩浆冷却凝固，形成岩浆岩，是岩石循环一环。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
33,ITEM_082,千问_C_C22,Geoscience,地震成因,C,False,概念：地震成因。题目：地震主要是因为。选项：A. 地底空洞塌陷；B. 板块挤压断裂；C. 地下核爆；D. 地心沸腾。答案：B。解析：板块间应力积累超过岩石强度引发震动。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
34,ITEM_442,Gemini_C_C22,Geoscience,地震成因,C,False,概念：地震成因。题目：绝大多数破坏性天然地震的直接原因是什么。选项：A. 地下深处岩浆的剧烈爆炸；B. 地下空洞突然大规模塌陷；C. 板块运动致岩层断裂释放应力；D. 太阳黑子活动引发地壳共振。答案：C。解析：地震多是地壳岩层在应力作用下突然断裂或错动造成的。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
35,ITEM_443,Gemini_C_C23,Geoscience,火山与板块边界,C,False,概念：火山与板块边界。题目：地球上的活火山是均匀分布在世界各地的吗。选项：A. 是的，任何地方都能随意出现；B. 是的，火山位置完全随机分布；C. 不是，它们主要集中在板块交界；D. 不是，只存在于赤道附近。答案：C。解析：板块交界处地壳薄弱，岩浆易涌出，因此火山多集中于此。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
36,ITEM_803,GLM_C_C23,Geoscience,火山与板块边界,C,False,概念：火山与板块边界。题目：火山只能出现在板块交界处吗。选项：A. 是，边界外无火山；B. 否，地幔热点也可形成火山；C. 是，板块内部岩浆无法上涌；D. 否，任何地方都能喷发。答案：B。解析：大多在边界，但地幔热点也能形成火山。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
37,ITEM_534,mimo_C_C24,Geoscience,地球内部结构,C,False,概念：地球内部结构。题目：关于地球内部结构，正确的是。选项：A. 地球内部全部是熔融岩浆；B. 地幔大部分为固态；C. 地核是固态金属；D. 地壳是最厚的一层。答案：B。解析：地幔大部分为固态，只有部分软流层呈塑性状态。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
38,ITEM_714,GPT_C_C24,Geoscience,地球内部结构,C,False,概念：地球内部结构。题目：地球内部结构哪项更准确。选项：A. 有地壳地幔地核；B. 地下全是熔岩；C. 内部完全空心；D. 只有一层岩石。答案：A。解析：地球内部有分层结构，性质各不相同。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
40,ITEM_082,千问_C_C22,Geoscience,地震成因,C,True,概念：地震成因。题目：地震主要是因为。选项：A. 地底空洞塌陷；B. 板块挤压断裂；C. 地下核爆；D. 地心沸腾。答案：B。解析：板块间应力积累超过岩石强度引发震动。,07151c3f1e1e41f7ade978f5cdd0d79c.xlsx
1,ITEM_475,mimo_A_C25,Climate/Environment,温室效应,A,False,概念：温室效应。解释：温室气体吸收地表辐射的热量，使地球维持适宜温度。常见误解：温室效应完全是坏事。正确说明：天然温室效应维持地球宜居温度，问题在于过度增强。,920ce42582db4012aeba61ee82b426d9.xlsx
2,ITEM_745,GLM_A_C25,Climate/Environment,温室效应,A,False,概念：温室效应。解释：温室效应是大气中温室气体吸收地表辐射，保持地球温暖的现象。常见误解：温室效应完全是有害的。正确说明：自然温室效应维持宜居温度，加剧的温室效应才导致变暖。,920ce42582db4012aeba61ee82b426d9.xlsx
3,ITEM_116,claude_A_C26,Climate/Environment,天气与气候,A,False,概念：天气与气候。解释：天气是短时间的大气状态，气候是某地区长期的平均大气特征，两者时间尺度不同。常见误解：天气和气候是同一回事。正确说明：天气多变且短暂，气候反映长期统计规律。,920ce42582db4012aeba61ee82b426d9.xlsx
4,ITEM_746,GLM_A_C26,Climate/Environment,天气与气候,A,False,概念：天气与气候。解释：天气是短时大气状况，气候是长期的平均天气模式。常见误解：天气冷说明气候变化不大。正确说明：局部短期冷事件不否定全球长期气候变暖趋势。,920ce42582db4012aeba61ee82b426d9.xlsx
5,ITEM_207,豆包_A_C27,Climate/Environment,全球变暖与气候变化,A,False,概念：全球变暖与气候变化。解释：全球变暖是气候变暖趋势，气候变化含更广泛气候异动。常见误解：全球变暖等于气候变化。正确说明：全球变暖是气候变化的一个重要表现。,920ce42582db4012aeba61ee82b426d9.xlsx
6,ITEM_477,mimo_A_C27,Climate/Environment,全球变暖与气候变化,A,False,概念：全球变暖与气候变化。解释：全球变暖指地球平均气温长期上升趋势，是气候变化的一部分。常见误解：全球变暖意味着冬天不冷了。正确说明：全球变暖增加极端天气频率，部分地区冬季可能更严寒。,920ce42582db4012aeba61ee82b426d9.xlsx
7,ITEM_028,千问_A_C28,Climate/Environment,二氧化碳的气候作用,A,False,概念：二氧化碳的气候作用。解释：二氧化碳是主要温室气体，调节地球温度。常见误解：二氧化碳只占0.04%，影响微乎其微。正确说明：微量二氧化碳对温室效应起决定性作用。,920ce42582db4012aeba61ee82b426d9.xlsx
8,ITEM_208,豆包_A_C28,Climate/Environment,二氧化碳的气候作用,A,False,概念：二氧化碳的气候作用。解释：二氧化碳是温室气体，过量会增强温室效应导致升温。常见误解：二氧化碳对气候无影响。正确说明：过量CO₂会加剧温室效应，推高全球气温。,920ce42582db4012aeba61ee82b426d9.xlsx
9,ITEM_299,DEEPSEEK_A_C29,Climate/Environment,海洋垃圾与塑料污染,A,False,概念：海洋垃圾与塑料污染。解释：塑料分解极慢，在海洋中积累形成塑料污染。常见误解：塑料在海里很快消失。正确说明：塑料可存续数百年，仅分解为更小微粒。,920ce42582db4012aeba61ee82b426d9.xlsx
10,ITEM_659,GPT_A_C29,Climate/Environment,海洋垃圾与塑料污染,A,False,概念：海洋垃圾与塑料污染。解释：塑料污染会破坏海洋生态，并可形成微塑料。常见误解：塑料会很快消失。正确说明：许多塑料难降解，会长期残留并碎化。,920ce42582db4012aeba61ee82b426d9.xlsx
11,ITEM_120,claude_A_C30,Climate/Environment,自然变率与人为影响,A,False,概念：自然变率与人为影响。解释：气候既受自然因素波动影响，也受人类活动干扰，当前变暖主要由人为排放驱动。常见误解：气候变化都是自然波动，与人类无关。正确说明：科学证据表明，近百年变暖主要由人类活动造成。,920ce42582db4012aeba61ee82b426d9.xlsx
12,ITEM_390,Gemini_A_C30,Climate/Environment,自然变率与人为影响,A,False,概念：自然变率与人为影响。解释：气候系统的自然波动与人类活动共同影响地球，但近期变暖主要由人类主导。常见误解：现代气候变化完全是地球的自然周期变动。正确说明：工业革命以来的快速变暖速度远超自然变动周期，主要是人类排放所致。,920ce42582db4012aeba61ee82b426d9.xlsx
14,ITEM_235,豆包_B_C25,Climate/Environment,温室效应,B,False,概念：温室效应。标题：温室的温度。场景：大棚温室保暖，类似大气的温室效应留住热量。标签：温室效应、热量、大气。提醒：认为温室效应全是坏处。,920ce42582db4012aeba61ee82b426d9.xlsx
15,ITEM_415,Gemini_B_C25,Climate/Environment,温室效应,B,False,概念：温室效应。标题：冬日的暖房。场景：寒冬里，爷爷的玻璃温室却暖洋洋的。大气层就像这玻璃，留住了地表热量。标签：温室气体、吸收热量、天然保温。提醒：天然的温室效应是地球生命存活的必备保温毯。,920ce42582db4012aeba61ee82b426d9.xlsx
16,ITEM_326,DEEPSEEK_B_C26,Climate/Environment,天气与气候,B,False,概念：天气与气候。标题：一日之寒。场景：寒潮来袭，小豪说：全球变暖是假的吧？姐姐摇头：看长期。标签：天气、气候、长期趋势。提醒：一天冷不代表气候趋势，得看长期。,920ce42582db4012aeba61ee82b426d9.xlsx
17,ITEM_776,GLM_B_C26,Climate/Environment,天气与气候,B,False,概念：天气与气候。标题：寒冬的暖警。场景：暴雪纷飞，小华笑全球变暖是谎言，其实天气不等于气候。标签：天气、气候、长期趋势。提醒：局部短期的寒冷天气，不能否定长期的气候变暖。,920ce42582db4012aeba61ee82b426d9.xlsx
18,ITEM_327,DEEPSEEK_B_C27,Climate/Environment,全球变暖与气候变化,B,False,概念：全球变暖与气候变化。标题：不均之暖。场景：小信奇怪：都说变暖，怎么某个地方冬天更冷了？这是气候失衡。标签：全球变暖、极值天气、不均。提醒：全球均值上升，局部可能短期更冷。,920ce42582db4012aeba61ee82b426d9.xlsx
19,ITEM_687,GPT_B_C27,Climate/Environment,全球变暖与气候变化,B,False,概念：全球变暖与气候变化。标题：不只升温。场景：新闻课上，主持人讲热浪、暴雨和海平面上升同时增加。标签：变暖、气候、极端。提醒：气候变化不只是变热。,920ce42582db4012aeba61ee82b426d9.xlsx
20,ITEM_238,豆包_B_C28,Climate/Environment,二氧化碳的气候作用,B,False,概念：二氧化碳的气候作用。标题：二氧化碳的功过。场景：小方得知，适量CO₂保温，过量则加剧变暖。标签：二氧化碳、保温、变暖。提醒：认为CO₂只有负面影响。,920ce42582db4012aeba61ee82b426d9.xlsx
21,ITEM_418,Gemini_B_C28,Climate/Environment,二氧化碳的气候作用,B,False,概念：二氧化碳的气候作用。标题：致命红墨水。场景：仅仅一滴红墨水就染红了整杯水。大气中微增的二氧化碳，足以打破热量平衡。标签：温室气体、微量大效、热量平衡。提醒：别因为二氧化碳占比低就忽视它极强的保温能力。,920ce42582db4012aeba61ee82b426d9.xlsx
22,ITEM_149,claude_B_C29,Climate/Environment,海洋垃圾与塑料污染,B,False,概念：海洋垃圾与塑料污染。标题：看不见的碎片。场景：渔民捕鱼，网里有鱼也有塑料碎片，塑料早已碎成肉眼难见的微粒。标签：微塑料、海洋污染、食物链。提醒：塑料不会消失，只会变成更小的微塑料残留。,920ce42582db4012aeba61ee82b426d9.xlsx
23,ITEM_779,GLM_B_C29,Climate/Environment,海洋垃圾与塑料污染,B,False,概念：海洋垃圾与塑料污染。标题：永远的碎片。场景：塑料瓶在海里变成微塑料，被鱼吞下，它从未真正消失。标签：微塑料、海洋污染、降解。提醒：塑料在海里只是碎裂，不会自然分解消失。,920ce42582db4012aeba61ee82b426d9.xlsx
24,ITEM_150,claude_B_C30,Climate/Environment,自然变率与人为影响,B,False,概念：自然变率与人为影响。标题：自然也会变，但没这么快。场景：地质学家说，历史上气候也变过，但现在变暖速度远超自然节律。标签：自然变率、人为排放、变暖速度。提醒：气候变化有自然因素，但当前变暖主要由人类活动驱动。,920ce42582db4012aeba61ee82b426d9.xlsx
25,ITEM_420,Gemini_B_C30,Climate/Environment,自然变率与人为影响,B,False,概念：自然变率与人为影响。标题：陡峭的曲线。场景：科学家看着近百年的气温图表直摇头，这陡峭上升的异常曲线绝非大自然的手笔。标签：自然波动、人类活动、快速变暖。提醒：工业时代以来的快速升温主要是人类活动导致的。,920ce42582db4012aeba61ee82b426d9.xlsx
